texture_id,name,width,height,format,mip_count,payload_bytes
214,Pyramid_RailStraight_BaseColor.png,2048,2048,BC7,12,5592432
215,Pyramid_RailStraight_Normal.png,2048,2048,BC5,12,5592432
216,Pyramid_RailStraight_Roughness.png,2048,2048,BC4,12,2796216
217,Pyramid_BottomWallCorner_BaseColor.png,2048,2048,BC7,12,5592432
218,Pyramid_BottomWallCorner_Normal.png,2048,2048,BC5,12,5592432
219,Pyramid_BottomWallCorner_Roughness.png,2048,2048,BC4,12,2796216
220,Pyramid_BottomWallSide_BaseColor.png,2048,2048,BC7,12,5592432
221,Pyramid_BottomWallSide_Normal.png,2048,2048,BC5,12,5592432
222,Pyramid_BottomWallSide_Roughness.png,2048,2048,BC4,12,2796216
223,Pyramid_Topper_BaseColor.png,2048,2048,BC7,12,5592432
224,Pyramid_Topper_Normal.png,2048,2048,BC5,12,5592432
225,Pyramid_Topper_Roughness.png,2048,2048,BC4,12,2796216
226,Pyramid_BottomFlat_BaseColor.png,2048,2048,BC7,12,5592432
227,Pyramid_BottomFlat_Normal.png,2048,2048,BC5,12,5592432
228,Pyramid_BottomFlat_Roughness.png,2048,2048,BC4,12,2796216
229,Pyramid_Ground_BaseColor.png,2048,2048,BC7,12,5592432
230,Pyramid_Ground_Normal.png,2048,2048,BC5,12,5592432
231,Pyramid_Ground_Roughness.png,2048,2048,BC4,12,2796216
232,PX_Banyan_Pinus_Rigida_Bark_02_Albedo_Processed.png,4096,4096,BC7,13,22369648
233,PX_Banyan_Pinus_Rigida_Bark_02_Normal_Processed.png,4096,4096,BC5,13,22369648
234,PX_Banyan_Pinus_Rigida_Bark_02_Roughness_Processed.png,4096,4096,BC4,13,11184824
235,PX_Banyan_Pinus_Rigida_Vines_02_Albedo_Processed.png,4096,4096,BC7,13,22369648
236,PX_Banyan_Pinus_Rigida_Vines_02_Normal_Processed.png,4096,4096,BC5,13,22369648
237,PX_Banyan_Pinus_Rigida_Vines_02_Roughness_Processed.png,4096,4096,BC4,13,11184824
238,PX_Prunus_x_yedoensis_Leaf_02_albedo.jpg,4096,4096,BC7,13,22369648
239,PX_Prunus_x_yedoensis_Leaf_02_normal.jpg,4096,4096,BC5,13,22369648
240,PX_Prunus_x_yedoensis_Leaf_02_roughness.jpg,4096,4096,BC4,13,11184824
241,PX_Prunus_x_yedoensis_Leaf_02_opacity.jpg,4096,4096,BC4,13,11184824
242,kloppenheim_06_puresky_8k.hdr,8192,4096,BC6H,14,44739280
