cell_multiplier,cluster_cap,cluster_count,mean_occupancy,p10_occupancy,p95_diagonal_m,camera_samples,candidate_instances,actual_visible_instances,instance_waste_ratio,accepted_clusters,false_positive_clusters,false_positive_cluster_ratio,average_visible_lod0_draws,average_ideal_lod0_draws,is_current,balanced_score
0.5,128,144801,0.46802788827425224,0.0625,123.98338317871094,24,205929792,205727536,0.0009821599780958357,3404333,1338,0.00039302853158019503,598174.9166666666,597868.0833333334,False,0.4996685814625833
0.5,256,123469,0.27444502769926055,0.02734375,124.76425170898438,24,205929792,205727536,0.0009821599780958357,2892365,1338,0.0004625972171562026,560246.9166666666,559940.0833333334,False,0.46804876915172444
0.5,512,112062,0.1511906494842141,0.013671875,125.21431732177734,24,205929792,205727536,0.0009821599780958357,2618597,1338,0.0005109606403734519,539079.9166666666,538773.0833333334,False,0.45040226611481377
1.0,128,82196,0.8245037015183221,0.3125,215.5488739013672,24,206071032,205727536,0.0016668815440299247,1945484,810,0.0004163488365877077,250190.16666666666,250028.5,False,0.21024540168805275
1.0,256,49771,0.6808272513110044,0.125,221.63394165039062,24,206123856,205727536,0.0019227274692551841,1174596,572,0.0004869759474747062,179925.16666666666,179793.25,True,0.15192272746925517
1.0,512,37498,0.4518301392740946,0.0625,223.6603546142578,24,206125679,205727536,0.0019315545832598567,880972,555,0.0006299859700421807,156276.16666666666,156146.375,False,0.13221585796494353
2.0,128,71251,0.9511572644594462,1.0,323.0681457519531,24,206187320,205727536,0.0022299334411058835,1691929,881,0.0005207074292124551,189993.75,189839.25,False,0.16062390926994585
2.0,256,37179,0.9114137853358079,0.58984375,394.04278564453125,24,206280879,205727536,0.0026824735413309925,882516,451,0.0005110388933458431,102685.375,102609.0,False,0.0882892095825185
2.0,512,20650,0.820471019975787,0.310546875,405.59326171875,24,206363591,205727536,0.003082205523357073,489595,237,0.00048407357101277587,62969.083333333336,62924.458333333336,False,0.055578266385697066
