camera_id,camera,kind,category,visible_clusters,false_positive_clusters,candidate_instances,actual_visible_instances,instance_waste_ratio
7,orbit_e0_210,orbit,ShrubSorrel,2476,0,630176,630176,0.0
7,orbit_e0_210,orbit,Shrub,48,0,11337,11337,0.0
7,orbit_e0_210,orbit,Grass_B,1351,0,339865,339865,0.0
7,orbit_e0_210,orbit,Grass_A,1104,0,280985,280985,0.0
7,orbit_e0_210,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
7,orbit_e0_210,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
7,orbit_e0_210,orbit,QueenForest,12277,0,613806,613806,0.0
7,orbit_e0_210,orbit,RiverForest,13573,0,2407967,2407967,0.0
7,orbit_e0_210,orbit,RiverSapling,1242,0,45000,45000,0.0
7,orbit_e0_210,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
8,orbit_e0_240,orbit,Anthurium,17,0,138,138,0.0
8,orbit_e0_240,orbit,Nettle,19,0,330,330,0.0
8,orbit_e0_240,orbit,ShrubSorrel,2476,0,630176,630176,0.0
8,orbit_e0_240,orbit,Shrub,48,0,11337,11337,0.0
8,orbit_e0_240,orbit,Grass_B,1351,0,339865,339865,0.0
8,orbit_e0_240,orbit,Grass_A,1104,0,280985,280985,0.0
8,orbit_e0_240,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
8,orbit_e0_240,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
8,orbit_e0_240,orbit,QueenForest,12277,0,613806,613806,0.0
8,orbit_e0_240,orbit,RiverForest,13573,0,2407967,2407967,0.0
8,orbit_e0_240,orbit,RiverSapling,1242,0,45000,45000,0.0
8,orbit_e0_240,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
9,orbit_e0_270,orbit,Anthurium,17,0,138,138,0.0
9,orbit_e0_270,orbit,Nettle,19,0,330,330,0.0
9,orbit_e0_270,orbit,ShrubSorrel,2476,0,630176,630176,0.0
9,orbit_e0_270,orbit,Shrub,48,0,11337,11337,0.0
9,orbit_e0_270,orbit,Grass_B,1351,0,339865,339865,0.0
9,orbit_e0_270,orbit,Grass_A,1104,0,280985,280985,0.0
9,orbit_e0_270,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
9,orbit_e0_270,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
9,orbit_e0_270,orbit,QueenForest,12151,1,609967,608525,0.0023640623181254068
9,orbit_e0_270,orbit,RiverForest,13447,0,2392008,2386272,0.0023979852910190934
9,orbit_e0_270,orbit,RiverSapling,1242,0,45000,45000,0.0
9,orbit_e0_270,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
10,orbit_e0_300,orbit,Anthurium,17,0,138,138,0.0
10,orbit_e0_300,orbit,Nettle,19,0,330,330,0.0
10,orbit_e0_300,orbit,ShrubSorrel,2476,0,630176,630176,0.0
10,orbit_e0_300,orbit,Shrub,48,0,11337,11337,0.0
10,orbit_e0_300,orbit,Grass_B,1351,0,339865,339865,0.0
10,orbit_e0_300,orbit,Grass_A,1104,0,280985,280985,0.0
10,orbit_e0_300,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
10,orbit_e0_300,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
10,orbit_e0_300,orbit,QueenForest,12277,0,613806,613806,0.0
10,orbit_e0_300,orbit,RiverForest,13573,0,2407967,2407967,0.0
10,orbit_e0_300,orbit,RiverSapling,1242,0,45000,45000,0.0
10,orbit_e0_300,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
11,orbit_e0_330,orbit,Anthurium,17,0,138,138,0.0
11,orbit_e0_330,orbit,Nettle,19,0,330,330,0.0
11,orbit_e0_330,orbit,ShrubSorrel,2476,0,630176,630176,0.0
11,orbit_e0_330,orbit,Shrub,48,0,11337,11337,0.0
11,orbit_e0_330,orbit,Grass_B,1351,0,339865,339865,0.0
11,orbit_e0_330,orbit,Grass_A,1104,0,280985,280985,0.0
11,orbit_e0_330,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
11,orbit_e0_330,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
11,orbit_e0_330,orbit,QueenForest,12277,0,613806,613806,0.0
11,orbit_e0_330,orbit,RiverForest,13573,0,2407967,2407967,0.0
11,orbit_e0_330,orbit,RiverSapling,1242,0,45000,45000,0.0
11,orbit_e0_330,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
12,orbit_e1_000,orbit,Anthurium,17,0,138,138,0.0
12,orbit_e1_000,orbit,Nettle,19,0,330,330,0.0
12,orbit_e1_000,orbit,ShrubSorrel,2476,0,630176,630176,0.0
12,orbit_e1_000,orbit,Shrub,48,0,11337,11337,0.0
12,orbit_e1_000,orbit,Grass_B,1351,0,339865,339865,0.0
12,orbit_e1_000,orbit,Grass_A,1104,0,280985,280985,0.0
12,orbit_e1_000,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
12,orbit_e1_000,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
12,orbit_e1_000,orbit,QueenForest,11447,23,579327,572166,0.012360894624279552
12,orbit_e1_000,orbit,RiverForest,12662,21,2271866,2243779,0.01236296506924264
12,orbit_e1_000,orbit,RiverSapling,1242,0,45000,45000,0.0
12,orbit_e1_000,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
13,orbit_e1_030,orbit,Anthurium,17,0,138,138,0.0
13,orbit_e1_030,orbit,Nettle,19,0,330,330,0.0
13,orbit_e1_030,orbit,ShrubSorrel,2476,0,630176,630176,0.0
13,orbit_e1_030,orbit,Shrub,48,0,11337,11337,0.0
13,orbit_e1_030,orbit,Grass_B,1351,0,339865,339865,0.0
13,orbit_e1_030,orbit,Grass_A,1104,0,280985,280985,0.0
13,orbit_e1_030,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
13,orbit_e1_030,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
13,orbit_e1_030,orbit,QueenForest,11488,13,570961,565517,0.009534801851615085
13,orbit_e1_030,orbit,RiverForest,12637,15,2255123,2233584,0.00955114199979336
13,orbit_e1_030,orbit,RiverSapling,1242,0,45000,45000,0.0
13,orbit_e1_030,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
14,orbit_e1_060,orbit,Anthurium,17,0,138,138,0.0
14,orbit_e1_060,orbit,Nettle,19,0,330,330,0.0
14,orbit_e1_060,orbit,ShrubSorrel,2476,0,630176,630176,0.0
14,orbit_e1_060,orbit,Shrub,48,0,11337,11337,0.0
14,orbit_e1_060,orbit,Grass_B,1351,0,339865,339865,0.0
14,orbit_e1_060,orbit,Grass_A,1104,0,280985,280985,0.0
14,orbit_e1_060,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
14,orbit_e1_060,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
14,orbit_e1_060,orbit,QueenForest,11518,18,573574,568221,0.009332710339032104
14,orbit_e1_060,orbit,RiverForest,12681,18,2263066,2241711,0.009436313390771634
14,orbit_e1_060,orbit,RiverSapling,1242,0,45000,45000,0.0
14,orbit_e1_060,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
15,orbit_e1_090,orbit,Anthurium,17,0,138,138,0.0
15,orbit_e1_090,orbit,Nettle,19,0,330,330,0.0
