Global ID	Name	Queue ID	EOP to EOP Duration (ns)
60	      DrawIndexedInstanced(IndexCountPerInstance:14688, InstanceCount:1, StartIndexLocation:68638800, BaseVertexLocation:36866316, StartInstanceLocation:0)	132	
61-195	 ExecuteIndirect(pCommandSignature:obj#2401, MaxCommandCount:1852, pArgumentBuffer:obj#7, ArgumentBufferOffset:118528, pCountBuffer:obj#6, CountBufferOffset:8)	133	
62	      DrawIndexedInstanced(IndexCountPerInstance:222, InstanceCount:273, StartIndexLocation:52268304, BaseVertexLocation:5459262, StartInstanceLocation:0)	135	
63	      DrawIndexedInstanced(IndexCountPerInstance:882, InstanceCount:4, StartIndexLocation:53292126, BaseVertexLocation:6623053, StartInstanceLocation:0)	137	
64	      DrawIndexedInstanced(IndexCountPerInstance:438, InstanceCount:28, StartIndexLocation:53446278, BaseVertexLocation:6653411, StartInstanceLocation:0)	139	
65	      DrawIndexedInstanced(IndexCountPerInstance:216, InstanceCount:211, StartIndexLocation:53522304, BaseVertexLocation:6667903, StartInstanceLocation:0)	141	
66	      DrawIndexedInstanced(IndexCountPerInstance:882, InstanceCount:10, StartIndexLocation:54732180, BaseVertexLocation:8147049, StartInstanceLocation:0)	143	
67	      DrawIndexedInstanced(IndexCountPerInstance:438, InstanceCount:31, StartIndexLocation:54916347, BaseVertexLocation:8185685, StartInstanceLocation:0)	145	
68	      DrawIndexedInstanced(IndexCountPerInstance:216, InstanceCount:506, StartIndexLocation:55008066, BaseVertexLocation:8204126, StartInstanceLocation:0)	147	
69	      DrawIndexedInstanced(IndexCountPerInstance:2142, InstanceCount:8, StartIndexLocation:46676094, BaseVertexLocation:16400, StartInstanceLocation:0)	149	
70	      DrawIndexedInstanced(IndexCountPerInstance:1044, InstanceCount:75, StartIndexLocation:46681095, BaseVertexLocation:24600, StartInstanceLocation:0)	151	
71	      DrawIndexedInstanced(IndexCountPerInstance:504, InstanceCount:106, StartIndexLocation:46683504, BaseVertexLocation:25338, StartInstanceLocation:0)	153	
72	      DrawIndexedInstanced(IndexCountPerInstance:252, InstanceCount:75, StartIndexLocation:46684668, BaseVertexLocation:25694, StartInstanceLocation:0)	155	
73	      DrawIndexedInstanced(IndexCountPerInstance:1020, InstanceCount:67, StartIndexLocation:46700460, BaseVertexLocation:50547, StartInstanceLocation:0)	157	
74	      DrawIndexedInstanced(IndexCountPerInstance:504, InstanceCount:111, StartIndexLocation:46702761, BaseVertexLocation:51292, StartInstanceLocation:0)	159	
75	      DrawIndexedInstanced(IndexCountPerInstance:258, InstanceCount:54, StartIndexLocation:46703862, BaseVertexLocation:51667, StartInstanceLocation:0)	161	
76	      DrawIndexedInstanced(IndexCountPerInstance:1020, InstanceCount:88, StartIndexLocation:46719504, BaseVertexLocation:76513, StartInstanceLocation:0)	163	
77	      DrawIndexedInstanced(IndexCountPerInstance:516, InstanceCount:110, StartIndexLocation:46721865, BaseVertexLocation:77246, StartInstanceLocation:0)	165	
78	      DrawIndexedInstanced(IndexCountPerInstance:258, InstanceCount:130, StartIndexLocation:46723074, BaseVertexLocation:77615, StartInstanceLocation:0)	167	
79	      DrawIndexedInstanced(IndexCountPerInstance:2190, InstanceCount:1, StartIndexLocation:46733967, BaseVertexLocation:94271, StartInstanceLocation:0)	169	
80	      DrawIndexedInstanced(IndexCountPerInstance:996, InstanceCount:72, StartIndexLocation:46738953, BaseVertexLocation:102471, StartInstanceLocation:0)	171	
81	      DrawIndexedInstanced(IndexCountPerInstance:492, InstanceCount:125, StartIndexLocation:46741272, BaseVertexLocation:103201, StartInstanceLocation:0)	173	
82	      DrawIndexedInstanced(IndexCountPerInstance:258, InstanceCount:61, StartIndexLocation:46742454, BaseVertexLocation:103563, StartInstanceLocation:0)	175	
83	      DrawIndexedInstanced(IndexCountPerInstance:2178, InstanceCount:12, StartIndexLocation:46753365, BaseVertexLocation:120228, StartInstanceLocation:0)	177	
84	      DrawIndexedInstanced(IndexCountPerInstance:1026, InstanceCount:95, StartIndexLocation:46758423, BaseVertexLocation:128428, StartInstanceLocation:0)	179	
85	      DrawIndexedInstanced(IndexCountPerInstance:510, InstanceCount:83, StartIndexLocation:46760742, BaseVertexLocation:129158, StartInstanceLocation:0)	181	
86	      DrawIndexedInstanced(IndexCountPerInstance:258, InstanceCount:73, StartIndexLocation:46761918, BaseVertexLocation:129525, StartInstanceLocation:0)	183	
87	      DrawIndexedInstanced(IndexCountPerInstance:354, InstanceCount:20, StartIndexLocation:47042724, BaseVertexLocation:352779, StartInstanceLocation:0)	185	
88	      DrawIndexedInstanced(IndexCountPerInstance:708, InstanceCount:1, StartIndexLocation:47298897, BaseVertexLocation:563553, StartInstanceLocation:0)	187	
89	      DrawIndexedInstanced(IndexCountPerInstance:354, InstanceCount:31, StartIndexLocation:47315808, BaseVertexLocation:566715, StartInstanceLocation:0)	189	
90	      DrawIndexedInstanced(IndexCountPerInstance:1524, InstanceCount:1, StartIndexLocation:47552931, BaseVertexLocation:781564, StartInstanceLocation:0)	191	
91	      DrawIndexedInstanced(IndexCountPerInstance:378, InstanceCount:23, StartIndexLocation:47607105, BaseVertexLocation:791827, StartInstanceLocation:0)	193	
92	      DrawIndexedInstanced(IndexCountPerInstance:360, InstanceCount:37, StartIndexLocation:47928672, BaseVertexLocation:1031336, StartInstanceLocation:0)	195	
93	      DrawIndexedInstanced(IndexCountPerInstance:366, InstanceCount:21, StartIndexLocation:48223725, BaseVertexLocation:1256994, StartInstanceLocation:0)	197	
94	      DrawIndexedInstanced(IndexCountPerInstance:20460, InstanceCount:2, StartIndexLocation:48235575, BaseVertexLocation:1573260, StartInstanceLocation:0)	199	
95	      DrawIndexedInstanced(IndexCountPerInstance:4884, InstanceCount:40, StartIndexLocation:48964191, BaseVertexLocation:2201552, StartInstanceLocation:0)	201	
96	      DrawIndexedInstanced(IndexCountPerInstance:2436, InstanceCount:154, StartIndexLocation:49078821, BaseVertexLocation:2234083, StartInstanceLocation:0)	203	
97	      DrawIndexedInstanced(IndexCountPerInstance:1212, InstanceCount:392, StartIndexLocation:49135932, BaseVertexLocation:2249882, StartInstanceLocation:0)	205	
98	      DrawIndexedInstanced(IndexCountPerInstance:20460, InstanceCount:3, StartIndexLocation:49173453, BaseVertexLocation:2577660, StartInstanceLocation:0)	207	
99	      DrawIndexedInstanced(IndexCountPerInstance:10224, InstanceCount:5, StartIndexLocation:49668552, BaseVertexLocation:2895548, StartInstanceLocation:0)	209	
100	      DrawIndexedInstanced(IndexCountPerInstance:4902, InstanceCount:41, StartIndexLocation:49913736, BaseVertexLocation:3213436, StartInstanceLocation:0)	211	
101	      DrawIndexedInstanced(IndexCountPerInstance:2442, InstanceCount:143, StartIndexLocation:50029419, BaseVertexLocation:3246042, StartInstanceLocation:0)	213	
102	      DrawIndexedInstanced(IndexCountPerInstance:1212, InstanceCount:395, StartIndexLocation:50087508, BaseVertexLocation:3261815, StartInstanceLocation:0)	215	
103	      DrawIndexedInstanced(IndexCountPerInstance:40872, InstanceCount:2, StartIndexLocation:3631038, BaseVertexLocation:3271670, StartInstanceLocation:0)	217	
104	      DrawIndexedInstanced(IndexCountPerInstance:20424, InstanceCount:4, StartIndexLocation:50125740, BaseVertexLocation:3588970, StartInstanceLocation:0)	219	
105	      DrawIndexedInstanced(IndexCountPerInstance:10212, InstanceCount:6, StartIndexLocation:50620491, BaseVertexLocation:3906270, StartInstanceLocation:0)	221	
106	      DrawIndexedInstanced(IndexCountPerInstance:4878, InstanceCount:52, StartIndexLocation:50863632, BaseVertexLocation:4223570, StartInstanceLocation:0)	223	
107	      DrawIndexedInstanced(IndexCountPerInstance:2430, InstanceCount:172, StartIndexLocation:50979366, BaseVertexLocation:4256487, StartInstanceLocation:0)	225	
108	      DrawIndexedInstanced(IndexCountPerInstance:1218, InstanceCount:405, StartIndexLocation:51037584, BaseVertexLocation:4272319, StartInstanceLocation:0)	227	
109	      DrawIndexedInstanced(IndexCountPerInstance:900, InstanceCount:6, StartIndexLocation:52038582, BaseVertexLocation:5415323, StartInstanceLocation:0)	229	
110	      DrawIndexedInstanced(IndexCountPerInstance:450, InstanceCount:21, StartIndexLocation:52191954, BaseVertexLocation:5445139, StartInstanceLocation:0)	231	
111	      DrawIndexedInstanced(IndexCountPerInstance:2664, InstanceCount:21, StartIndexLocation:48224091, BaseVertexLocation:1257142, StartInstanceLocation:0)	233	
112	      DrawIndexedInstanced(IndexCountPerInstance:198138, InstanceCount:2, StartIndexLocation:48256035, BaseVertexLocation:1601442, StartInstanceLocation:0)	235	
113	      DrawIndexedInstanced(IndexCountPerInstance:47544, InstanceCount:40, StartIndexLocation:48969075, BaseVertexLocation:2203896, StartInstanceLocation:0)	237	
