metric,value
list_indices,91668864
list_r32_bytes,366675456
restart_strip_indices,82011164
restart_strip_r32_bytes,328044656
restart_tokens,16838110
degenerate_strip_indices,98854213
degenerate_strip_r32_bytes,395416852
