sample,gpu_forward_ms,ia_vertices,ia_primitives,vs_invocations,ps_invocations,visible_instances,active_mesh_lods,logical_indices,list_r32_bytes,list_r16_bytes
0,21.0954,420994533,140331511,206732558,42006811,722037,136,420994533,1683978132,841989066
1,20.7886,420994533,140331511,206732558,41981491,722037,136,420994533,1683978132,841989066
2,20.6859,420994533,140331511,206732558,41974289,722037,136,420994533,1683978132,841989066
3,21.017,420994533,140331511,206732558,42036974,722037,136,420994533,1683978132,841989066
4,20.7297,420994533,140331511,206732558,42045214,722037,136,420994533,1683978132,841989066
5,20.7777,420994533,140331511,206732558,41940135,722037,136,420994533,1683978132,841989066
6,21.1256,420994533,140331511,206732558,42537607,722037,136,420994533,1683978132,841989066
7,20.7205,420994533,140331511,206732558,42005521,722037,136,420994533,1683978132,841989066
8,20.7019,420994533,140331511,206732558,42029864,722037,136,420994533,1683978132,841989066
9,21.0342,420994533,140331511,206732558,42041316,722037,136,420994533,1683978132,841989066
10,21.0233,420994533,140331511,206732558,41990659,722037,136,420994533,1683978132,841989066
11,20.7631,420994533,140331511,206732558,42066507,722037,136,420994533,1683978132,841989066
12,20.8984,420994533,140331511,206732558,42025969,722037,136,420994533,1683978132,841989066
13,21.0607,420994533,140331511,206732558,42031949,722037,136,420994533,1683978132,841989066
14,20.8317,420994533,140331511,206732558,41951988,722037,136,420994533,1683978132,841989066
15,20.766,420994533,140331511,206732558,42045730,722037,136,420994533,1683978132,841989066
16,21.0472,420994533,140331511,206732558,41982492,722037,136,420994533,1683978132,841989066
17,20.8768,420994533,140331511,206732558,41985562,722037,136,420994533,1683978132,841989066
18,20.7696,420994533,140331511,206732558,42014122,722037,136,420994533,1683978132,841989066
19,21.1649,420994533,140331511,206732558,41983089,722037,136,420994533,1683978132,841989066
20,20.8402,420994533,140331511,206732558,42016647,722037,136,420994533,1683978132,841989066
21,20.763,420994533,140331511,206732558,42035826,722037,136,420994533,1683978132,841989066
22,21.1061,420994533,140331511,206732558,41980055,722037,136,420994533,1683978132,841989066
23,20.8919,420994533,140331511,206732558,42028121,722037,136,420994533,1683978132,841989066
24,20.7693,420994533,140331511,206732558,42024121,722037,136,420994533,1683978132,841989066
25,21.1031,420994533,140331511,206732558,42017345,722037,136,420994533,1683978132,841989066
26,20.822,420994533,140331511,206732558,41995850,722037,136,420994533,1683978132,841989066
27,20.7691,420994533,140331511,206732558,42037037,722037,136,420994533,1683978132,841989066
28,20.79,420994533,140331511,206732558,42019605,722037,136,420994533,1683978132,841989066
29,20.8897,420994533,140331511,206732558,41991238,722037,136,420994533,1683978132,841989066
30,20.891,420994533,140331511,206732558,41980743,722037,136,420994533,1683978132,841989066
31,20.7741,420994533,140331511,206732558,42071239,722037,136,420994533,1683978132,841989066
32,20.9811,420994533,140331511,206732558,42012908,722037,136,420994533,1683978132,841989066
33,20.8792,420994533,140331511,206732558,42017654,722037,136,420994533,1683978132,841989066
34,20.7602,420994533,140331511,206732558,42006452,722037,136,420994533,1683978132,841989066
35,21.0606,420994533,140331511,206732558,41986434,722037,136,420994533,1683978132,841989066
36,20.9002,420994533,140331511,206732558,41993553,722037,136,420994533,1683978132,841989066
37,20.7717,420994533,140331511,206732558,42000659,722037,136,420994533,1683978132,841989066
38,20.8911,420994533,140331511,206732558,42027808,722037,136,420994533,1683978132,841989066
39,20.7618,420994533,140331511,206732558,42049491,722037,136,420994533,1683978132,841989066
40,20.7591,420994533,140331511,206732558,42020818,722037,136,420994533,1683978132,841989066
41,20.8844,420994533,140331511,206732558,42089004,722037,136,420994533,1683978132,841989066
42,20.894,420994533,140331511,206732558,41992423,722037,136,420994533,1683978132,841989066
43,21.1489,420994533,140331511,206732558,42019923,722037,136,420994533,1683978132,841989066
44,21.0548,420994533,140331511,206732558,42063639,722037,136,420994533,1683978132,841989066
45,20.7826,420994533,140331511,206732558,42007867,722037,136,420994533,1683978132,841989066
46,20.8014,420994533,140331511,206732558,41946995,722037,136,420994533,1683978132,841989066
