"mesh_id","mesh_name","active_lod_count","visible_instances","logical_indices","workload_share_percent","direct_r16_logical_indices","remapped_r16_logical_indices","restart_strip_logical_indices"
"93","E_X1_Y1_10","1","1","14688","0.003489","0","14688","12906"
"85","E_X1_Y2_18","1","1","14688","0.003489","0","14688","12703"
"133","River","1","1","14058","0.003339","14058","14058","4710"
"165","QueenForest_06_Animated_Translucent_Impostor_4","1","1696","10176","0.002417","10176","10176","6784"
"166","QueenForest_06_Animated_Translucent_Impostor_5","1","1638","9828","0.002334","9828","9828","6552"
"164","QueenForest_06_Animated_Translucent_Impostor_3","1","1546","9276","0.002203","9276","9276","6184"
"167","QueenForest_06_Animated_Translucent_Impostor_6","1","1514","9084","0.002158","9084","9084","6056"
"162","QueenForest_06_Animated_Translucent_Impostor_1","1","1475","8850","0.002102","8850","8850","5900"
"163","QueenForest_06_Animated_Translucent_Impostor_2","1","1447","8682","0.002062","8682","8682","5788"
"168","QueenForest_06_Animated_Translucent_Impostor_7","1","1431","8586","0.002039","8586","8586","5724"
"161","QueenForest_06_Animated_Translucent_Impostor_0","1","1412","8472","0.002012","8472","8472","5648"
