sample,gpu_forward_ms,ia_vertices,ia_primitives,vs_invocations,ps_invocations,visible_instances,active_mesh_lods,logical_indices,list_r32_bytes,list_r16_bytes
76,23.98,420994533,140331511,234436786,42005697,722037,136,420994533,1683978132,841989066
77,23.6951,420994533,140331511,234436786,42021297,722037,136,420994533,1683978132,841989066
78,24.0685,420994533,140331511,234436786,42000213,722037,136,420994533,1683978132,841989066
79,23.8507,420994533,140331511,234436786,42001905,722037,136,420994533,1683978132,841989066
80,23.9908,420994533,140331511,234436786,42013822,722037,136,420994533,1683978132,841989066
81,23.6846,420994533,140331511,234436786,42004354,722037,136,420994533,1683978132,841989066
82,23.6652,420994533,140331511,234436786,42004242,722037,136,420994533,1683978132,841989066
83,24.0449,420994533,140331511,234436786,41985737,722037,136,420994533,1683978132,841989066
84,23.6971,420994533,140331511,234436786,42022200,722037,136,420994533,1683978132,841989066
85,24.0313,420994533,140331511,234436786,42023892,722037,136,420994533,1683978132,841989066
86,23.6815,420994533,140331511,234436786,42007620,722037,136,420994533,1683978132,841989066
87,24.1032,420994533,140331511,234436786,42010174,722037,136,420994533,1683978132,841989066
88,23.7144,420994533,140331511,234436786,42021173,722037,136,420994533,1683978132,841989066
89,24.0793,420994533,140331511,234436786,42037402,722037,136,420994533,1683978132,841989066
90,23.7019,420994533,140331511,234436786,42008435,722037,136,420994533,1683978132,841989066
91,24.0215,420994533,140331511,234436786,42035529,722037,136,420994533,1683978132,841989066
92,23.6849,420994533,140331511,234436786,42044156,722037,136,420994533,1683978132,841989066
93,24.0154,420994533,140331511,234436786,42025058,722037,136,420994533,1683978132,841989066
94,23.7984,420994533,140331511,234436786,42058225,722037,136,420994533,1683978132,841989066
95,24.1904,420994533,140331511,234436786,41968716,722037,136,420994533,1683978132,841989066
96,23.7027,420994533,140331511,234436786,41990640,722037,136,420994533,1683978132,841989066
97,24.0137,420994533,140331511,234436786,41992562,722037,136,420994533,1683978132,841989066
98,23.6875,420994533,140331511,234436786,42070449,722037,136,420994533,1683978132,841989066
99,24.1576,420994533,140331511,234436786,42012406,722037,136,420994533,1683978132,841989066
100,23.7022,420994533,140331511,234436786,42010978,722037,136,420994533,1683978132,841989066
101,24.0551,420994533,140331511,234436786,41968188,722037,136,420994533,1683978132,841989066
102,23.7026,420994533,140331511,234436786,42032838,722037,136,420994533,1683978132,841989066
103,23.9948,420994533,140331511,234436786,42011917,722037,136,420994533,1683978132,841989066
104,23.6826,420994533,140331511,234436786,41978768,722037,136,420994533,1683978132,841989066
105,23.9947,420994533,140331511,234436786,42006430,722037,136,420994533,1683978132,841989066
106,23.7893,420994533,140331511,234436786,41930257,722037,136,420994533,1683978132,841989066
107,24.0105,420994533,140331511,234436786,42027822,722037,136,420994533,1683978132,841989066
108,23.701,420994533,140331511,234436786,41996471,722037,136,420994533,1683978132,841989066
109,23.9454,420994533,140331511,234436786,42008549,722037,136,420994533,1683978132,841989066
110,23.6828,420994533,140331511,234436786,41997910,722037,136,420994533,1683978132,841989066
111,23.9881,420994533,140331511,234436786,42011459,722037,136,420994533,1683978132,841989066
112,23.8202,420994533,140331511,234436786,42075484,722037,136,420994533,1683978132,841989066
113,24.154,420994533,140331511,234436786,42040921,722037,136,420994533,1683978132,841989066
114,23.678,420994533,140331511,234436786,41977389,722037,136,420994533,1683978132,841989066
115,23.9446,420994533,140331511,234436786,41973569,722037,136,420994533,1683978132,841989066
116,23.8096,420994533,140331511,234436786,41998963,722037,136,420994533,1683978132,841989066
117,24.0044,420994533,140331511,234436786,42508595,722037,136,420994533,1683978132,841989066
118,23.7984,420994533,140331511,234436786,42010204,722037,136,420994533,1683978132,841989066
