source,algorithm,uncompressed_bytes,compressed_bytes,bytes_per_original_index,ratio,saving_percent,compress_seconds,compress_mib_s,decompress_seconds,decompress_mib_s
raw_r32,lz4_0,366675444,259492318,2.8307575240844325,0.7076893810211081,29.231061897889187,0.6418338000075892,544.8278875240342,0.49431819999881554,707.4167072960213
raw_r32,lz4_9,366675444,251946115,2.748437280135945,0.6871093200339863,31.28906799660137,4.186686400003964,83.5240378642468,0.4444107999879634,786.8597104506221
raw_r32,zstd_1,366675444,182018732,1.985611362619636,0.496402840654909,50.3597159345091,1.4007451000070432,249.64495924197763,0.4399881999997888,794.76893562106
raw_r32,zstd_3,366675444,136919399,1.4936304161126208,0.3734076040281552,62.65923959718448,1.6709679999912623,209.27327956100103,0.4291918000089936,814.7614968234029
raw_r32,zstd_9,366675444,111745035,1.2190075646298255,0.3047518911574564,69.52481088425436,3.368078300001798,103.8244726672392,0.3894268000003649,897.9581102259283
raw_r32,zlib_6,366675444,151862679,1.6566441138610852,0.4141610284652713,58.583897153472876,4.434119700003066,78.86321909609622,0.8361545000079786,418.2109327837397
meshopt_index_codec_with_headers,lz4_0,85591226,37840603,0.4127966965794415,0.442108435273494,55.78915647265059,0.11854090000269935,688.5906378647717,0.08659649999754038,942.6033840656528
meshopt_index_codec_with_headers,lz4_9,85591226,31015081,0.33833823897953746,0.3623628548094404,63.76371451905596,2.966636199998902,27.51471648122984,0.09326619999774266,875.1954507409808
meshopt_index_codec_with_headers,zstd_1,85591226,29254224,0.3191293497145121,0.34178998674466937,65.82100132553306,0.18144489999394864,449.8674470797755,0.0789029000006849,1034.5139905531269
meshopt_index_codec_with_headers,zstd_3,85591226,28285592,0.3085627081152454,0.330473032364322,66.9526967635678,0.275137700009509,296.6738252994838,0.08195639999757987,995.9704665936185
meshopt_index_codec_with_headers,zstd_9,85591226,26368312,0.28764742697086637,0.3080726054794448,69.19273945205552,0.9367420000053244,87.13835180386798,0.08791139999812003,928.5047667045276
meshopt_index_codec_with_headers,zlib_6,85591226,27544149,0.30047443264294516,0.3218104271575687,67.81895728424313,0.8922133999876678,91.48725399893242,0.15237090000300668,535.7069751790673
meshopt_sequence_codec_with_headers,lz4_0,103788669,44709197,0.4877250192952654,0.43077146504306746,56.92285349569326,0.11325120000401512,873.9915158142287,0.09977109999454115,992.0767433124938
meshopt_sequence_codec_with_headers,lz4_9,103788669,36958934,0.40317871954359724,0.35609796672505745,64.39020332749425,1.624090299999807,60.9452491399655,0.09568939999735449,1034.3944884389082
meshopt_sequence_codec_with_headers,zstd_1,103788669,35902289,0.39165195910964795,0.3459172310996685,65.40827689003315,0.20240650000050664,489.0188208335295,0.08639130000665318,1145.724024892169
meshopt_sequence_codec_with_headers,zstd_3,103788669,34299759,0.37417023213586126,0.3304769136214667,66.95230863785333,0.31261420001101214,316.62217505091854,0.0805644000065513,1228.5896494138938
meshopt_sequence_codec_with_headers,zstd_9,103788669,32054796,0.3496803129254546,0.30884677786936454,69.11532221306355,0.9105510000081267,108.70405716802918,0.09431230000336654,1049.498187996225
meshopt_sequence_codec_with_headers,zlib_6,103788669,33720173,0.36784762712389324,0.3248926238759262,67.51073761240738,0.8910109999997076,111.08795285279535,0.1750424999918323,565.4660323287665
