material_id,material,runtime_source,metallic_constant,constant_used_by_shader,metallic_binding,metallic_texture,metallic_texture_id,metallic_channel,metallic_format,source_texture_path,source_channel_status,source_channel_min_u8,source_channel_max_u8,source_channel_mean_u8,source_nonzero_pixels,source_total_pixels,effective_nonzero,lod0_submesh_count,lod0_triangles,meshes
100,MI_Terrain_X4_Y4,texture_override,0.0,False,323,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,5,577752,E_X4_Y4_37 | M_4x4_01 | M_4x4_02 | M_4x4_03 | M_4x4_04
101,MI_Terrain_X3_Y4,texture_override,0.0,False,327,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,5,577752,E_X3_Y4_36 | M_3x4_01 | M_3x4_02 | M_3x4_03 | M_3x4_04
102,MI_Terrain_X4_Y3,texture_override,0.0,False,331,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,5,577752,E_X4_Y3_29 | M_4x3_01 | M_4x3_02 | M_4x3_03 | M_4x3_04
103,MI_Terrain_X3_Y3,texture_override,0.0,False,335,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,5,577752,E_X3_Y3_28 | M_3x3_01 | M_3x3_02 | M_3x3_03 | M_3x3_04
104,MI_Terrain_X2_Y5,texture_override,0.0,False,339,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X2_Y5_43
105,MI_Terrain_X1_Y5,texture_override,0.0,False,343,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X1_Y5_42
106,MI_Terrain_X0_Y5,texture_override,0.0,False,347,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X0_Y5_41
107,MI_Terrain_X0_Y4,texture_override,0.0,False,351,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X0_Y4_33
108,MI_Terrain_X1_Y4,texture_override,0.0,False,355,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X1_Y4_34
109,MI_Terrain_X2_Y4,texture_override,0.0,False,359,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X2_Y4_35
110,MI_Terrain_X5_Y4,texture_override,0.0,False,363,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X5_Y4_38
111,MI_Terrain_X6_Y4,texture_override,0.0,False,367,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X6_Y4_39
112,MI_Terrain_X7_Y4,texture_override,0.0,False,371,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X7_Y4_40
113,MI_Terrain_X7_Y3,texture_override,0.0,False,375,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X7_Y3_32
114,MI_Terrain_X6_Y3,texture_override,0.0,False,379,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X6_Y3_31
115,MI_Terrain_X5_Y3,texture_override,0.0,False,383,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X5_Y3_30
116,MI_Terrain_X2_Y3,texture_override,0.0,False,387,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X2_Y3_27
117,MI_Terrain_X1_Y3,texture_override,0.0,False,391,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X1_Y3_26
118,MI_Terrain_X0_Y3,texture_override,0.0,False,395,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X0_Y3_25
119,MI_Terrain_X0_Y2,texture_override,0.0,False,399,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X0_Y2_17
120,MI_Terrain_X1_Y2,texture_override,0.0,False,403,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X1_Y2_18
121,MI_Terrain_X2_Y2,texture_override,0.0,False,407,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X2_Y2_19
122,MI_Terrain_X3_Y2,texture_override,0.0,False,411,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X3_Y2_20
123,MI_Terrain_X4_Y2,texture_override,0.0,False,415,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X4_Y2_21
124,MI_Terrain_X5_Y2,texture_override,0.0,False,419,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X5_Y2_22
