material_id,material,base_color,emissive,roughness,metallic,opacity,opacity_threshold,ior,specular,clearcoat,clearcoat_roughness,lod0_submesh_count,all_lod_submesh_count,lod0_triangles,meshes,base_color_binding,base_color_texture,base_color_channel,base_color_format,normal_binding,normal_texture,normal_channel,normal_format,roughness_binding,roughness_texture,roughness_channel,roughness_format,metallic_binding,metallic_texture,metallic_channel,metallic_format,opacity_binding,opacity_texture,opacity_channel,opacity_format,emissive_binding,emissive_texture,emissive_channel,emissive_format
47,MI_QueenPalm_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,2450,QueenForest_05_Animated_Translucent,144,palm_bark_diff_4k.jpg,RGB,BC1_UNORM,145,palm_bark_nor_gl_4k.exr,RGB,BC5_UNORM,146,palm_bark_rough_4k.exr,R,BC4_UNORM,,,,,,,,,,,,
48,MI_QueenPalm_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,208620,QueenForest_05_Animated_Translucent,147,PX_Chamaedorea_elegans_Leaf_01_albedo_E.jpg,RGB,BC1_UNORM,148,PX_Chamaedorea_elegans_Leaf_01_normal.jpg,RGB,BC5_UNORM,149,PX_Chamaedorea_elegans_Leaf_01_roughness.jpg,R,BC4_UNORM,,,,,150,PX_Chamaedorea_elegans_Leaf_01_opacity.jpg,R,BC4_UNORM,,,,
49,MI_QueenPalm_FruitBranches,"[0.029557, 0.05127, 0.007499, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,39096,QueenForest_05_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
50,MI_QueenPalm_DriedBranches,"[0.059047, 0.053222, 0.048145, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,8256,QueenForest_05_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
51,MI_QueenPalm_Branches,"[0.029557, 0.05127, 0.007499, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,11136,QueenForest_05_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
52,MI_QueenPalm_OldBranches,"[0.114436, 0.070361, 0.049707, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,9216,QueenForest_05_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
53,MI_QueenPalm_DeadLeaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,40800,QueenForest_05_Animated_Translucent,151,PX_Imperata_Cylindrica_Leaf_01_Albedo_Processed.png,RGB,BC1_UNORM,152,PX_Imperata_cylindrica_Leaf_01_normal.jpg,RGB,BC5_UNORM,153,PX_Imperata_cylindrica_Leaf_01_roughness.jpg,R,BC4_UNORM,,,,,154,PX_Imperata_cylindrica_Leaf_01_opacity.jpg,R,BC4_UNORM,,,,
54,MI_QueenPalm_Berries,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,113280,QueenForest_05_Animated_Translucent,155,MI_QueenForest_Berries_Albedo_Processed.png,RGB,BC1_UNORM,156,MI_QueenForest_Berries_Normal_Processed.png,RGB,BC5_UNORM,157,MI_QueenForest_Berries_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
55,MI_QueenPalm_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,2450,QueenForest_06_Animated_Translucent,158,palm_bark_diff_4k.jpg,RGB,BC1_UNORM,159,palm_bark_nor_gl_4k.exr,RGB,BC5_UNORM,160,palm_bark_rough_4k.exr,R,BC4_UNORM,,,,,,,,,,,,
56,MI_QueenPalm_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,236192,QueenForest_06_Animated_Translucent,161,PX_Chamaedorea_elegans_Leaf_01_albedo_E.jpg,RGB,BC1_UNORM,162,PX_Chamaedorea_elegans_Leaf_01_normal.jpg,RGB,BC5_UNORM,163,PX_Chamaedorea_elegans_Leaf_01_roughness.jpg,R,BC4_UNORM,,,,,164,PX_Chamaedorea_elegans_Leaf_01_opacity.jpg,R,BC4_UNORM,,,,
57,MI_QueenPalm_FruitBranches,"[0.029557, 0.05127, 0.007499, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,47232,QueenForest_06_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
58,MI_QueenPalm_DriedBranches,"[0.059047, 0.053222, 0.048145, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,9192,QueenForest_06_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
59,MI_QueenPalm_Branches,"[0.029557, 0.05127, 0.007499, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,11136,QueenForest_06_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
60,MI_QueenPalm_OldBranches,"[0.114436, 0.070361, 0.049707, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,9216,QueenForest_06_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
61,MI_QueenPalm_DeadLeaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,46104,QueenForest_06_Animated_Translucent,165,PX_Imperata_Cylindrica_Leaf_01_Albedo_Processed.png,RGB,BC1_UNORM,166,PX_Imperata_cylindrica_Leaf_01_normal.jpg,RGB,BC5_UNORM,167,PX_Imperata_cylindrica_Leaf_01_roughness.jpg,R,BC4_UNORM,,,,,168,PX_Imperata_cylindrica_Leaf_01_opacity.jpg,R,BC4_UNORM,,,,
62,MI_QueenPalm_Berries,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,153920,QueenForest_06_Animated_Translucent,169,MI_QueenForest_Berries_Albedo_Processed.png,RGB,BC1_UNORM,170,MI_QueenForest_Berries_Normal_Processed.png,RGB,BC5_UNORM,171,MI_QueenForest_Berries_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
63,MI_Moss_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,239,Moss_01,172,Moss_01_BaseColor.tif,RGBA,BC7_UNORM,173,Moss_01_Normal.png,RGB,BC5_UNORM,174,Moss_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
64,MI_Moss_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,229,Moss_03,176,Moss_01_BaseColor.tif,RGBA,BC7_UNORM,177,Moss_01_Normal.png,RGB,BC5_UNORM,178,Moss_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
65,MI_Moss_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,233,Moss_02,180,Moss_01_BaseColor.tif,RGBA,BC7_UNORM,181,Moss_01_Normal.png,RGB,BC5_UNORM,182,Moss_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
66,MI_Grass_02_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,1760,Grass_B_02,184,Grass_Medium_02_BaseColor.tif,RGBA,BC7_UNORM,185,Grass_Medium_02_Normal.png,RGB,BC5_UNORM,186,Grass_Medium_02_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
67,MI_Grass_02_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,1215,Grass_B_03,188,Grass_Medium_02_BaseColor.tif,RGBA,BC7_UNORM,189,Grass_Medium_02_Normal.png,RGB,BC5_UNORM,190,Grass_Medium_02_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
68,MI_Grass_02_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,1664,Grass_B_05,192,Grass_Medium_02_BaseColor.tif,RGBA,BC7_UNORM,193,Grass_Medium_02_Normal.png,RGB,BC5_UNORM,194,Grass_Medium_02_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
69,MI_Grass_02_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,714,Grass_B_01,196,Grass_Medium_02_BaseColor.tif,RGBA,BC7_UNORM,197,Grass_Medium_02_Normal.png,RGB,BC5_UNORM,198,Grass_Medium_02_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
70,MI_Grass_02_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,2489,Grass_B_04,200,Grass_Medium_02_BaseColor.tif,RGBA,BC7_UNORM,201,Grass_Medium_02_Normal.png,RGB,BC5_UNORM,202,Grass_Medium_02_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
71,MI_Grass_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,1466,Grass_A_06,204,Grass_Medium_01_BaseColor.tif,RGBA,BC7_UNORM,205,Grass_Medium_01_Normal.png,RGB,BC5_UNORM,206,Grass_Medium_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
72,MI_Grass_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,2287,Grass_A_04,208,Grass_Medium_01_BaseColor.tif,RGBA,BC7_UNORM,209,Grass_Medium_01_Normal.png,RGB,BC5_UNORM,210,Grass_Medium_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
73,MI_Grass_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,4626,Grass_A_02,212,Grass_Medium_01_BaseColor.tif,RGBA,BC7_UNORM,213,Grass_Medium_01_Normal.png,RGB,BC5_UNORM,214,Grass_Medium_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
74,MI_Grass_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,5945,Grass_A_03,216,Grass_Medium_01_BaseColor.tif,RGBA,BC7_UNORM,217,Grass_Medium_01_Normal.png,RGB,BC5_UNORM,218,Grass_Medium_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
75,MI_Grass_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,1257,Grass_A_05,220,Grass_Medium_01_BaseColor.tif,RGBA,BC7_UNORM,221,Grass_Medium_01_Normal.png,RGB,BC5_UNORM,222,Grass_Medium_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
76,MI_Grass_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,6422,Grass_A_01,224,Grass_Medium_01_BaseColor.tif,RGBA,BC7_UNORM,225,Grass_Medium_01_Normal.png,RGB,BC5_UNORM,226,Grass_Medium_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
77,MI_Shrub_04_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,6589,Shrub_02,228,Shrub_04_BaseColor.tif,RGBA,BC7_UNORM,229,Shrub_04_Normal.png,RGB,BC5_UNORM,230,Shrub_04_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
78,MI_Shrub_04_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,6177,Shrub_03,232,Shrub_04_BaseColor.tif,RGBA,BC7_UNORM,233,Shrub_04_Normal.png,RGB,BC5_UNORM,234,Shrub_04_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
79,MI_Shrub_04_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,3726,Shrub_01,236,Shrub_04_BaseColor.tif,RGBA,BC7_UNORM,237,Shrub_04_Normal.png,RGB,BC5_UNORM,238,Shrub_04_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
80,MI_Shrub_04_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,10835,Shrub_04,240,Shrub_04_BaseColor.tif,RGBA,BC7_UNORM,241,Shrub_04_Normal.png,RGB,BC5_UNORM,242,Shrub_04_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
81,MI_Shrub_Sorrel_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.35500001907348633,0.0,0.029999999329447746,1,4,414,ShrubSorrel_01_Translucent,244,Shrub_Sorrel_01_BaseColor.tif,RGBA,BC7_UNORM,245,Shrub_Sorrel_01_Normal.png,RGB,BC5_UNORM,246,Shrub_Sorrel_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
82,MI_Shrub_Sorrel_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.35500001907348633,0.0,0.029999999329447746,1,4,71,ShrubSorrel_05_Translucent,248,Shrub_Sorrel_01_BaseColor.tif,RGBA,BC7_UNORM,249,Shrub_Sorrel_01_Normal.png,RGB,BC5_UNORM,250,Shrub_Sorrel_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
83,MI_Shrub_Sorrel_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.35500001907348633,0.0,0.029999999329447746,1,4,67,ShrubSorrel_07_Translucent,252,Shrub_Sorrel_01_BaseColor.tif,RGBA,BC7_UNORM,253,Shrub_Sorrel_01_Normal.png,RGB,BC5_UNORM,254,Shrub_Sorrel_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
84,MI_Shrub_Sorrel_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.35500001907348633,0.0,0.029999999329447746,1,4,355,ShrubSorrel_03_Translucent,256,Shrub_Sorrel_01_BaseColor.tif,RGBA,BC7_UNORM,257,Shrub_Sorrel_01_Normal.png,RGB,BC5_UNORM,258,Shrub_Sorrel_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
85,MI_Shrub_Sorrel_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.35500001907348633,0.0,0.029999999329447746,1,4,63,ShrubSorrel_06_Translucent,260,Shrub_Sorrel_01_BaseColor.tif,RGBA,BC7_UNORM,261,Shrub_Sorrel_01_Normal.png,RGB,BC5_UNORM,262,Shrub_Sorrel_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
86,MI_Shrub_Sorrel_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.35500001907348633,0.0,0.029999999329447746,1,4,284,ShrubSorrel_02_Translucent,264,Shrub_Sorrel_01_BaseColor.tif,RGBA,BC7_UNORM,265,Shrub_Sorrel_01_Normal.png,RGB,BC5_UNORM,266,Shrub_Sorrel_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
87,MI_Shrub_Sorrel_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.35500001907348633,0.0,0.029999999329447746,1,4,71,ShrubSorrel_04_Translucent,268,Shrub_Sorrel_01_BaseColor.tif,RGBA,BC7_UNORM,269,Shrub_Sorrel_01_Normal.png,RGB,BC5_UNORM,270,Shrub_Sorrel_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
88,MI_Nettle_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,3592,Nettle_03_Translucent,272,Nettle_BaseColor.tif,RGBA,BC7_UNORM,273,Nettle_Normal.png,RGB,BC5_UNORM,274,Nettle_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
89,MI_Nettle_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,5664,Nettle_02_Translucent,276,Nettle_BaseColor.tif,RGBA,BC7_UNORM,277,Nettle_Normal.png,RGB,BC5_UNORM,278,Nettle_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
90,MI_Nettle_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,8080,Nettle_06_Translucent,280,Nettle_BaseColor.tif,RGBA,BC7_UNORM,281,Nettle_Normal.png,RGB,BC5_UNORM,282,Nettle_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
91,MI_Nettle_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,5896,Nettle_01_Translucent,284,Nettle_BaseColor.tif,RGBA,BC7_UNORM,285,Nettle_Normal.png,RGB,BC5_UNORM,286,Nettle_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
92,MI_Nettle_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,1088,Nettle_04_Translucent,288,Nettle_BaseColor.tif,RGBA,BC7_UNORM,289,Nettle_Normal.png,RGB,BC5_UNORM,290,Nettle_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
93,MI_Nettle_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,6984,Nettle_05_Translucent,292,Nettle_BaseColor.tif,RGBA,BC7_UNORM,293,Nettle_Normal.png,RGB,BC5_UNORM,294,Nettle_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
94,MI_Anthurium_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,7664,Anthurium_05_Translucent,296,anthurium_botany_01_BaseColor.tif,RGBA,BC7_UNORM,297,Anthurium_Botany_01_Normal.png,RGB,BC5_UNORM,298,Anthurium_Botany_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
95,MI_Anthurium_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,15544,Anthurium_02_Translucent,300,anthurium_botany_01_BaseColor.tif,RGBA,BC7_UNORM,301,Anthurium_Botany_01_Normal.png,RGB,BC5_UNORM,302,Anthurium_Botany_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
96,MI_Anthurium_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,10360,Anthurium_04_Translucent,304,anthurium_botany_01_BaseColor.tif,RGBA,BC7_UNORM,305,Anthurium_Botany_01_Normal.png,RGB,BC5_UNORM,306,Anthurium_Botany_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
97,MI_Anthurium_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,9072,Anthurium_03_Translucent,308,anthurium_botany_01_BaseColor.tif,RGBA,BC7_UNORM,309,Anthurium_Botany_01_Normal.png,RGB,BC5_UNORM,310,Anthurium_Botany_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
98,MI_Anthurium_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,8704,Anthurium_06_Translucent,312,anthurium_botany_01_BaseColor.tif,RGBA,BC7_UNORM,313,Anthurium_Botany_01_Normal.png,RGB,BC5_UNORM,314,Anthurium_Botany_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
99,MI_Anthurium_01_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,15808,Anthurium_01_Translucent,316,anthurium_botany_01_BaseColor.tif,RGBA,BC7_UNORM,317,Anthurium_Botany_01_Normal.png,RGB,BC5_UNORM,318,Anthurium_Botany_01_Roughness.png,R,BC4_UNORM,,,,,,,,,,,,
100,MI_Terrain_X4_Y4,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.0,0.0,0.029999999329447746,5,20,577752,E_X4_Y4_37 | M_4x4_01 | M_4x4_02 | M_4x4_03 | M_4x4_04,320,Terrain_Cinematic_BaseColor_4_4.jpg,RGB,BC1_UNORM,321,Terrain_Cinematic_Normal_4_4.jpg,RGB,BC5_UNORM,322,Metallic-Roughness.png,G,BC7_UNORM,323,Metallic-Roughness.png,B,BC7_UNORM,,,,,,,,
101,MI_Terrain_X3_Y4,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.0,0.0,0.029999999329447746,5,20,577752,E_X3_Y4_36 | M_3x4_01 | M_3x4_02 | M_3x4_03 | M_3x4_04,324,Terrain_Cinematic_BaseColor_3_4.jpg,RGB,BC1_UNORM,325,Terrain_Cinematic_Normal_3_4.jpg,RGB,BC5_UNORM,326,Metallic-Roughness.png,G,BC7_UNORM,327,Metallic-Roughness.png,B,BC7_UNORM,,,,,,,,
102,MI_Terrain_X4_Y3,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.0,0.0,0.029999999329447746,5,20,577752,E_X4_Y3_29 | M_4x3_01 | M_4x3_02 | M_4x3_03 | M_4x3_04,328,Terrain_Cinematic_BaseColor_4_3.jpg,RGB,BC1_UNORM,329,Terrain_Cinematic_Normal_4_3.jpg,RGB,BC5_UNORM,330,Metallic-Roughness.png,G,BC7_UNORM,331,Metallic-Roughness.png,B,BC7_UNORM,,,,,,,,
103,MI_Terrain_X3_Y3,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.0,0.0,0.029999999329447746,5,20,577752,E_X3_Y3_28 | M_3x3_01 | M_3x3_02 | M_3x3_03 | M_3x3_04,332,Terrain_Cinematic_BaseColor_3_3.jpg,RGB,BC1_UNORM,333,Terrain_Cinematic_Normal_3_3.jpg,RGB,BC5_UNORM,334,Metallic-Roughness.png,G,BC7_UNORM,335,Metallic-Roughness.png,B,BC7_UNORM,,,,,,,,
104,MI_Terrain_X2_Y5,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.0,0.0,0.029999999329447746,1,4,81608,E_X2_Y5_43,336,Terrain_BaseColor_2_5.jpg,RGB,BC1_UNORM,337,Terrain_Normal_2_5.jpg,RGB,BC5_UNORM,338,Metallic-Roughness.png,G,BC7_UNORM,339,Metallic-Roughness.png,B,BC7_UNORM,,,,,,,,
105,MI_Terrain_X1_Y5,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.0,0.0,0.029999999329447746,1,4,81608,E_X1_Y5_42,340,Terrain_BaseColor_1_5.jpg,RGB,BC1_UNORM,341,Terrain_Normal_1_5.jpg,RGB,BC5_UNORM,342,Metallic-Roughness.png,G,BC7_UNORM,343,Metallic-Roughness.png,B,BC7_UNORM,,,,,,,,
106,MI_Terrain_X0_Y5,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.0,0.0,0.029999999329447746,1,4,81608,E_X0_Y5_41,344,Terrain_BaseColor_0_5.jpg,RGB,BC1_UNORM,345,Terrain_Normal_0_5.jpg,RGB,BC5_UNORM,346,Metallic-Roughness.png,G,BC7_UNORM,347,Metallic-Roughness.png,B,BC7_UNORM,,,,,,,,
107,MI_Terrain_X0_Y4,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.0,0.0,0.029999999329447746,1,4,81608,E_X0_Y4_33,348,Terrain_BaseColor_0_4.jpg,RGB,BC1_UNORM,349,Terrain_Normal_0_4.jpg,RGB,BC5_UNORM,350,Metallic-Roughness.png,G,BC7_UNORM,351,Metallic-Roughness.png,B,BC7_UNORM,,,,,,,,
